Date,BAJAJ-AUTO.NS,HEROMOTOCO.NS,zscore,s1Buy,s1Sell,s1Profit,s1Performance,s2buy,s2Sell,s2Profit,s2Performance
2020-04-08,1963.6331787109375,1651.5540771484375,-2.060668360396427,1963.6331787109375,,-182.1551513671875,-208.8223876953125,,1651.5540771484375,217.2275390625,197.8876953125
2020-04-09,2133.7880859375,1805.00048828125,-2.381882525358853,2133.7880859375,,,-208.8223876953125,,1805.00048828125,,197.8876953125
2020-04-13,2100.151123046875,1739.8594970703125,-0.2612351695310905,,2100.151123046875,-33.636962890625,-242.4593505859375,1739.8594970703125,,65.1409912109375,263.0286865234375
2020-04-15,2045.4912109375,1653.7752685546875,2.0264868889381056,,2045.4912109375,,-242.4593505859375,1653.7752685546875,,,263.0286865234375
2020-04-16,2044.0902099609375,1616.19580078125,3.953103498011611,,,,-242.4593505859375,,,,263.0286865234375
2020-04-17,2084.03369140625,1664.473388671875,2.6131147822350638,,,,-242.4593505859375,,,,263.0286865234375
2020-04-20,2083.289306640625,1637.2294921875,3.9131068460224907,,,,-242.4593505859375,,,,263.0286865234375
2020-04-21,2035.06787109375,1656.9033203125,0.18143823373831083,2035.06787109375,,10.42333984375,-232.0360107421875,,1656.9033203125,3.1280517578125,266.15673828125
2020-04-22,2084.515625,1711.391357421875,-0.6117583545104565,,,,-232.0360107421875,,,,266.15673828125
2020-04-23,2129.1455078125,1690.8563232421875,2.5760347557290904,,,,-232.0360107421875,,,,266.15673828125
2020-04-24,2142.022216796875,1717.8736572265625,1.3957642189155233,,2142.022216796875,,-232.0360107421875,1717.8736572265625,,,266.15673828125
2020-04-27,2194.929931640625,1754.501220703125,1.576400283543273,,,,-232.0360107421875,,,,266.15673828125
2020-04-28,2158.095947265625,1761.663818359375,-0.5487731702745041,2158.095947265625,,-16.07373046875,-248.1097412109375,,1761.663818359375,43.7901611328125,309.9468994140625
2020-04-29,2189.1484375,1786.278564453125,-0.45834590771780204,,,,-248.1097412109375,,,,309.9468994140625
2020-04-30,2297.89892578125,1964.385009765625,-4.651292481325805,2297.89892578125,,,-248.1097412109375,,1964.385009765625,,309.9468994140625
2020-05-04,2139.218994140625,1813.8851318359375,-3.481124860159141,,,,-248.1097412109375,,,,309.9468994140625
2020-05-05,2122.26904296875,1781.8360595703125,-2.260971728945684,,,,-248.1097412109375,,,,309.9468994140625
2020-05-06,2165.23486328125,1837.5028076171875,-3.0109055316797217,,,,-248.1097412109375,,,,309.9468994140625
2020-05-07,2108.034912109375,1813.522705078125,-3.937161180336233,,,,-248.1097412109375,,,,309.9468994140625
2020-05-08,2118.984375,1779.3428955078125,-1.3984214020455497,,,,-248.1097412109375,,,,309.9468994140625
2020-05-11,2247.96923828125,1893.6229248046875,-1.5506542498097453,,,,-248.1097412109375,,,,309.9468994140625
